threshold,recall,precision,flag_rate,f1,tp,fp,fn
-0.19853891175037658,0.0,0.0,0.0,0.0,0.0,0.0,199.0
-0.19516849096302144,0.0,0.0,2.8431707039690663e-05,0.0,0.0,1.0,199.0
-0.19179807017566633,0.0,0.0,2.8431707039690663e-05,0.0,0.0,1.0,199.0
-0.1884276493883112,0.0,0.0,2.8431707039690663e-05,0.0,0.0,1.0,199.0
-0.18505722860095605,0.0,0.0,2.8431707039690663e-05,0.0,0.0,1.0,199.0
-0.18168680781360091,0.0,0.0,2.8431707039690663e-05,0.0,0.0,1.0,199.0
-0.1783163870262458,0.0,0.0,5.6863414079381326e-05,0.0,0.0,2.0,199.0
-0.17494596623889067,0.0,0.0,5.6863414079381326e-05,0.0,0.0,2.0,199.0
-0.17157554545153553,0.0,0.0,8.5295121119072e-05,0.0,0.0,3.0,199.0
-0.16820512466418042,0.0,0.0,0.0002274536563175253,0.0,0.0,8.0,199.0
-0.16483470387682528,0.0,0.0,0.000341180484476288,0.0,0.0,12.0,199.0
-0.16146428308947014,0.0,0.0,0.0004833390196747413,0.0,0.0,17.0,199.0
-0.15809386230211503,0.0,0.0,0.0007107926759922665,0.0,0.0,25.0,199.0
-0.1547234415147599,0.0,0.0,0.0008245195041510292,0.0,0.0,29.0,199.0
-0.15135302072740475,0.0,0.0,0.0009666780393494826,0.0,0.0,34.0,199.0
-0.14798259994004964,0.0,0.0,0.0012225634027066986,0.0,0.0,43.0,199.0
-0.1446121791526945,0.0,0.0,0.0015353121801432957,0.0,0.0,54.0,199.0
-0.14124175836533936,0.0,0.0,0.0018764926646195838,0.0,0.0,66.0,199.0
-0.13787133757798423,0.0,0.0,0.0021608097350164905,0.0,0.0,76.0,199.0
-0.1345009167906291,0.0,0.0,0.0026441487546912316,0.0,0.0,93.0,199.0
-0.13113049600327398,0.0,0.0,0.0029568975321278288,0.0,0.0,104.0,199.0
-0.12776007521591884,0.005025125628140704,0.00847457627118644,0.003354941430683498,0.006309148264984228,1.0,117.0,198.0
-0.12438965442856371,0.005025125628140704,0.007575757575757576,0.0037529853292391675,0.006042296072507553,1.0,131.0,198.0
-0.12101923364120859,0.005025125628140704,0.006993006993006993,0.004065734106675765,0.0058479532163742695,1.0,142.0,198.0
-0.11764881285385345,0.005025125628140704,0.00641025641025641,0.004435346298191744,0.00563380281690141,1.0,155.0,198.0
-0.11427839206649833,0.005025125628140704,0.005917159763313609,0.004804958489707722,0.005434782608695652,1.0,168.0,198.0
-0.11090797127914319,0.005025125628140704,0.005376344086021506,0.005288297509382463,0.005194805194805196,1.0,185.0,198.0
-0.10753755049178806,0.005025125628140704,0.004694835680751174,0.0060559535994541116,0.004854368932038835,1.0,212.0,198.0
-0.10416712970443294,0.005025125628140704,0.00425531914893617,0.006681451154327306,0.004608294930875576,1.0,234.0,198.0
-0.1007967089170778,0.005025125628140704,0.0038022813688212928,0.007477538951438645,0.004329004329004329,1.0,262.0,198.0
-0.09742628812972268,0.005025125628140704,0.003484320557491289,0.00815989992039122,0.004115226337448559,1.0,286.0,198.0
-0.09405586734236754,0.01507537688442211,0.009404388714733543,0.009069714545661321,0.011583011583011584,3.0,316.0,196.0
-0.09068544655501241,0.01507537688442211,0.008771929824561403,0.009723643807574206,0.011090573012939002,3.0,339.0,196.0
-0.08731502576765729,0.01507537688442211,0.007936507936507936,0.010747185261003071,0.010398613518197573,3.0,375.0,196.0
-0.08394460498030215,0.01507537688442211,0.007194244604316547,0.011856021835551006,0.00974025974025974,3.0,414.0,196.0
-0.08057418419294703,0.02512562814070352,0.010964912280701754,0.012964858410098942,0.015267175572519083,5.0,451.0,194.0
-0.07720376340559189,0.02512562814070352,0.01016260162601626,0.013988399863527807,0.014471780028943563,5.0,487.0,194.0
-0.07383334261823676,0.035175879396984924,0.013257575757575758,0.01501194131695667,0.01925722145804677,7.0,521.0,192.0
-0.07046292183088163,0.035175879396984924,0.012302284710017574,0.016177641305583988,0.018229166666666664,7.0,562.0,192.0
-0.06709250104352651,0.04020100502512563,0.013311148086522463,0.01708745593085409,0.02,8.0,593.0,191.0
-0.06372208025617138,0.04020100502512563,0.012759170653907496,0.017826680313886047,0.01937046004842615,8.0,619.0,191.0
-0.06035165946881624,0.04522613065326633,0.013782542113323124,0.018565904696918004,0.02112676056338028,9.0,644.0,190.0
-0.0569812386814611,0.04522613065326633,0.01327433628318584,0.01927669737291027,0.020524515393386546,9.0,669.0,190.0
-0.05361081789410599,0.04522613065326633,0.01267605633802817,0.020186511998180372,0.019801980198019806,9.0,701.0,190.0
-0.05024039710675085,0.05025125628140704,0.013605442176870748,0.020897304674172636,0.021413276231263385,10.0,725.0,189.0
-0.04686997631939571,0.06030150753768844,0.015789473684210527,0.021608097350164904,0.025026068821689257,12.0,748.0,187.0
-0.0434995555320406,0.06532663316582915,0.016270337922403004,0.02271693392471284,0.026052104208416835,13.0,786.0,186.0
-0.04012913474468546,0.08040201005025126,0.01907032181168057,0.023854202206300468,0.030828516377649325,16.0,823.0,183.0
-0.036758713957330325,0.08542713567839195,0.0194954128440367,0.02479244853861026,0.031746031746031744,17.0,855.0,182.0
-0.033388293169975214,0.10050251256281408,0.021505376344086023,0.026441487546912317,0.0354295837023915,20.0,910.0,179.0
-0.030017872382620076,0.10552763819095477,0.021148036253776436,0.028232685090412827,0.03523489932885906,21.0,972.0,178.0
-0.026647451595264937,0.11557788944723618,0.02184235517568851,0.029938587512794268,0.03674121405750799,23.0,1030.0,176.0
-0.0232770308079098,0.1407035175879397,0.02471315092674316,0.03221312407596952,0.04204204204204204,28.0,1105.0,171.0
-0.019906610020554688,0.1708542713567839,0.028309741881765195,0.034146480154668486,0.04857142857142857,34.0,1167.0,165.0
-0.01653618923319955,0.18592964824120603,0.029042386185243328,0.036221994768565906,0.05023761031907671,37.0,1237.0,162.0
-0.013165768445844411,0.20603015075376885,0.03016924208977189,0.038638689866939614,0.05263157894736842,41.0,1318.0,158.0
-0.0097953476584893,0.23115577889447236,0.03159340659340659,0.041396565449789605,0.05558912386706948,46.0,1410.0,153.0
-0.006424926871134162,0.25125628140703515,0.03170577045022194,0.04483680200159217,0.05630630630630631,50.0,1527.0,149.0
-0.003054506083779024,0.2914572864321608,0.03429923122412774,0.04807801660411691,0.06137566137566137,58.0,1633.0,141.0
0.00031591470357608675,0.31155778894472363,0.034235229155162895,0.05148982144887979,0.061691542288557215,62.0,1749.0,137.0
0.003686335490931225,0.3417085427135678,0.03543512245961438,0.054560445809166386,0.06421152030217185,68.0,1851.0,131.0
0.0070567562782863635,0.36683417085427134,0.0356619443087445,0.058199704310246785,0.06500445235975066,73.0,1974.0,126.0
0.010427177065641502,0.4271356783919598,0.03893724232707284,0.06206641646764472,0.07136859781696055,85.0,2098.0,114.0
0.013797597852996613,0.4723618090452261,0.04010238907849829,0.06664392130103491,0.07392843098702319,94.0,2250.0,105.0
0.01716801864035175,0.5527638190954773,0.04339250493096647,0.07207437734561584,0.08046817849305048,110.0,2425.0,89.0
0.02053843942770689,0.6030150753768844,0.0440852314474651,0.07739110656203799,0.08216364258815474,120.0,2602.0,79.0
0.023908860215062,0.6984924623115578,0.047327204630575416,0.08350392357557147,0.08864795918367348,139.0,2798.0,60.0
0.02727928100241714,0.7587939698492462,0.048104491876393755,0.08924712839758898,0.09047333732774117,151.0,2988.0,48.0
0.030649701789772277,0.8190954773869347,0.04845422116527943,0.09564426248151939,0.09149593039573393,163.0,3201.0,36.0
0.034020122577127415,0.8592964824120602,0.04742096505823627,0.10252473558512452,0.08988173455978976,171.0,3435.0,28.0
0.037390543364482526,0.9195979899497487,0.04726239669421488,0.11008756965768225,0.0899042004421518,183.0,3689.0,16.0
0.040760964151837664,0.964824120603015,0.04595500239348971,0.11878767201182759,0.08773132282385195,192.0,3986.0,7.0
0.0441313849391928,0.9798994974874372,0.04345888121239135,0.12757306948709202,0.08322663252240717,195.0,4292.0,4.0
0.04750180572654791,0.9949748743718593,0.040690505548705305,0.13834868645513476,0.07818361303060217,198.0,4668.0,1.0
0.05087222651390305,1.0,0.03799159984726995,0.1489252814738997,0.07320213352951996,199.0,5039.0,0.0
0.05424264730125816,1.0,0.03524619199433227,0.16052541794609348,0.0680923866552609,199.0,5447.0,0.0
0.05761306808861333,1.0,0.03233669158271043,0.17496872512225634,0.06264756807807335,199.0,5955.0,0.0
0.06098348887596844,1.0,0.029411764705882353,0.19236892983054701,0.05714285714285715,199.0,6567.0,0.0
0.06435390966332355,1.0,0.02705642420122366,0.20911520527692481,0.052687317977230606,199.0,7156.0,0.0
0.06772433045067872,1.0,0.024689826302729527,0.22915955873990673,0.04818985349315898,199.0,7861.0,0.0
0.07109475123803383,1.0,0.022463031944914776,0.2518764926646196,0.04393905939500994,199.0,8660.0,0.0
0.07446517202538894,1.0,0.02029783761729906,0.27874445581712726,0.03978806358092572,199.0,9605.0,0.0
0.0778355928127441,1.0,0.018223443223443225,0.310474240873422,0.03579458584405073,199.0,10721.0,0.0
0.08120601360009921,1.0,0.01639479321140221,0.3451040600477653,0.03226067925751804,199.0,11939.0,0.0
0.08457643438745438,1.0,0.014737465748352219,0.383913340156943,0.02904685447379945,199.0,13304.0,0.0
0.08794685517480949,1.0,0.013249001331557923,0.42704423973615374,0.026151521124909656,199.0,14821.0,0.0
0.0913172759621646,1.0,0.01198578570137927,0.47205163197998407,0.023687656231401028,199.0,16404.0,0.0
0.09468769674951977,1.0,0.010867190913062473,0.5206414193108154,0.021500729296094215,199.0,18113.0,0.0
0.09805811753687488,1.0,0.009901975419216799,0.5713920163766633,0.019609775325187227,199.0,19898.0,0.0
0.10142853832422999,1.0,0.009071845368344274,0.6236779256226543,0.01798057375197651,199.0,21737.0,0.0
0.10479895911158515,1.0,0.008374011109240869,0.6756510860912089,0.01660893878062012,199.0,23565.0,0.0
0.10816937989894027,1.0,0.007747712672766206,0.7302683953144546,0.015376294235821356,199.0,25486.0,0.0
0.11153980068629538,1.0,0.00720701144429958,0.7850562947799385,0.01431088418251771,199.0,27413.0,0.0
0.11491022147365054,1.0,0.006740507401009383,0.8393892869327875,0.01339075432339681,199.0,29324.0,0.0
0.11828064226100565,1.0,0.006358843265697396,0.8897702718071193,0.012637327744967296,199.0,31096.0,0.0
0.12165106304836076,1.0,0.00605341607349273,0.9346639372227908,0.012033985426178456,199.0,32675.0,0.0
0.12502148383571593,1.0,0.005837317767152621,0.9692653246900944,0.011606882473024204,199.0,33892.0,0.0
0.12839190462307104,1.0,0.00571280932422346,0.9903900830205845,0.011360717038221106,199.0,34635.0,0.0
0.13176232541042615,1.0,0.005665803035048259,0.9986068463550551,0.01126776513221222,199.0,34924.0,0.0
0.13513274619778132,1.0,0.005658070569503284,0.9999715682929603,0.011252473847893695,199.0,34972.0,0.0
